data,method,aggregator,metric,P,R,F1,H,J,KLD,C
mcti_data_politicas,SumyRandom,Avg,Gensim,,,,0.47,0.84,2.49,
mcti_data_politicas,SumyRandom,Avg,SKLearn,,,,,,,0.73
mcti_data_politicas,SumyLuhn,Avg,Gensim,,,,0.43,0.76,1.94,
mcti_data_politicas,SumyLuhn,Avg,SKLearn,,,,,,,0.84
mcti_data_politicas,SumyLsa,Avg,Gensim,,,,0.54,0.82,2.92,
mcti_data_politicas,SumyLsa,Avg,SKLearn,,,,,,,0.71
mcti_data_politicas,SumyLexRank,Avg,Gensim,,,,0.55,0.81,2.65,
mcti_data_politicas,SumyLexRank,Avg,SKLearn,,,,,,,0.79
mcti_data_politicas,SumyTextRank,Avg,Gensim,,,,0.42,0.75,1.98,
mcti_data_politicas,SumyTextRank,Avg,SKLearn,,,,,,,0.85
mcti_data_politicas,SumySumBasic,Avg,Gensim,,,,0.5,0.85,2.57,
mcti_data_politicas,SumySumBasic,Avg,SKLearn,,,,,,,0.75
mcti_data_politicas,SumyKL,Avg,Gensim,,,,0.5,0.84,2.56,
mcti_data_politicas,SumyKL,Avg,SKLearn,,,,,,,0.7
mcti_data_politicas,SumyReduction,Avg,Gensim,,,,0.51,0.76,2.63,
mcti_data_politicas,SumyReduction,Avg,SKLearn,,,,,,,0.85
mcti_data_politicas,Transformers-facebook/bart-large-cnn,Avg,Gensim,,,,0.42,0.93,1.91,
mcti_data_politicas,Transformers-facebook/bart-large-cnn,Avg,SKLearn,,,,,,,0.55
mcti_data_politicas,Transformers-google/pegasus-xsum,Avg,Gensim,,,,0.43,0.94,2.15,
mcti_data_politicas,Transformers-google/pegasus-xsum,Avg,SKLearn,,,,,,,0.53
mcti_data_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,Gensim,,,,0.46,0.96,2.12,
mcti_data_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,Gensim,,,, 0.46, 0.96, 2.12,
mcti_data_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,SKLearn,,,,,,, 0.43
